code_departement,departement,mean_SCA,mean_rSCI,mean_HDDS_score,mean_LhCSI_score,mean_SERS_score,geometry
TCD0101,Batha Ouest,46.0659793814433,6.967010309278351,5.348453608247422,0.9216494845360824,37.39958592132505,"list(c(-585532.086399999, -575060.2434, -567577.3191, -553629.554000001, -531058.160799999, -545272.826499999, -554249.109200001, -566233.3697, -575959.857999999, -587503.702, -609049.5649, -627261.383000001, -628886.967799999, -632069.3345, -633060.8781, -635554.634500001, -636874.4298, -642052.7907, -650371.211599998, -654951.127799999, -656186.256099999, -653454.427499998, -648335.3561, -640917.982299998, -636013.794799998, -630486.2498, -626105.8662, -622657.888099998, -622118.503800001, -619497.616300002, 
-617816.765700001, -616656.347899999, -613361.788899999, -613194.386500001, -615029.336300001, -626813.205400001, -677814.6307, -680643.9947, -695624.533100002, -720088.255600002, -723205.225400001, -728106.529800002, -730942.467599999, -733466.380199999, -736420.757300001, -736038.180599999, -733672.4027, -728278.723299999, -725500.216200002, -725944.376800001, -726071.850900002, -725172.4038, -726447.804499999, -728874.3532, -733779.734900001, -755689.4142, -770808.734299999, -779059.7337, -787725.672400001, 
-795959.1248, -810235.284200002, -806463.771600001, -773631.436299998, -731689.697000001, -706089.578600001, -687035.764899999, -662491.172200002, -644733.991799999, -634294.9146, -627799.991, -620188.293000001, -617205.957699999, -605171.779199999, -600292.337499999, -598510.5792, -597886.8336, -597387.280200001, -597567.4353, -597941.377999999, -595041.8116, -591201.6472, -585532.086399999, 1876656.7303, 1856764.5836, 1849220.8899, 1847912.6116, 1842123.8332, 1802530.1017, 1777945.3609, 1753326.4738, 
1729480.1569, 1711252.2148, 1685949.2595, 1664630.9481, 1647343.3327, 1626830.8359, 1619949.0669, 1602629.917, 1588513.2244, 1573804.3165, 1563214.8018, 1559296.0864, 1553029.6156, 1545737.5364, 1542934.2829, 1538814.1934, 1538309.472, 1538783.7498, 1539139.9705, 1536963.7249, 1529948.7598, 1524778.2036, 1520064.5554, 1514888.3289, 1511328.1457, 1506953.6773, 1490018.3837, 1489412.4631, 1489737.5549, 1489609.4859, 1481045.3598, 1465757.5373, 1461827.4051, 1461812.8899, 1468608.0926, 1475633.0378, 
1487033.6623, 1498554.6212, 1509616.0458, 1519761.2105, 1532540.3276, 1541624.3846, 1549441.7755, 1562775.1508, 1570697.5547, 1579762.2181, 1580321.6436, 1580140.2735, 1577222.7591, 1579952.3072, 1581876.3377, 1579094.3251, 1573765.4977, 1600750.7428, 1612096.1831, 1812019.8238, 1794587.8967, 1790218.5947, 1789937.4203, 1794756.7907, 1801512.3451, 1806204.8182, 1813492.2469, 1816337.0271, 1835319.2311, 1848585.5758, 1858511.1699, 1865175.6267, 1869061.3074, 1872262.1708, 1878904.1163, 1879518.6953, 
1880335.6851, 1876656.7303))"
TCD0102,Batha Est,45.61818181818182,4.691919191919192,5.767676767676767,0.6878787878787879,38.708333333333336,"list(c(-517727.567600001, -517603.720899999, -515986.750100002, -515345.341600001, -515940.926399998, -497818.574200001, -494129.539900001, -491066.208799999, -492746.968499999, -493168.214499999, -493713.669100001, -492510.273400001, -490124.930500001, -485382.471999999, -483513.6877, -483164.0922, -484250.402199998, -484317.398400001, -487025.144900002, -516841.853399999, -522271.211399999, -530936.008499999, -544820.675299998, -554613.213199999, -563155.2009, -588254.253400002, -604356.217300002, 
-606168.094799999, -615029.336300001, -613194.386500001, -613361.788899999, -616656.347899999, -617816.765700001, -619497.616300002, -622118.503800001, -622657.888099998, -626105.8662, -630486.2498, -636013.794799998, -640917.982299998, -648335.3561, -653454.427499998, -656186.256099999, -654951.127799999, -650371.211599998, -642052.7907, -636874.4298, -635554.634500001, -633060.8781, -632069.3345, -628886.967799999, -627261.383000001, -609049.5649, -587503.702, -575959.857999999, -566233.3697, -554249.109200001, 
-545272.826499999, -531058.160799999, -517727.567600001, 1838947.0575, 1829748.1895, 1700856.9378, 1649714.1, 1635380.7192, 1623370.3926, 1620976.1509, 1612621.1179, 1603426.5161, 1600349.8547, 1596957.1314, 1592401.2459, 1588234.0281, 1577960.6057, 1573783.3255, 1565253.2736, 1532330.5149, 1527843.9012, 1525652.5346, 1517996.5758, 1520516.9427, 1523835.426, 1528982.3734, 1523322.7264, 1518354.893, 1502063.4095, 1492103.1255, 1489948.9426, 1490018.3837, 1506953.6773, 1511328.1457, 1514888.3289, 1520064.5554, 
1524778.2036, 1529948.7598, 1536963.7249, 1539139.9705, 1538783.7498, 1538309.472, 1538814.1934, 1542934.2829, 1545737.5364, 1553029.6156, 1559296.0864, 1563214.8018, 1573804.3165, 1588513.2244, 1602629.917, 1619949.0669, 1626830.8359, 1647343.3327, 1664630.9481, 1685949.2595, 1711252.2148, 1729480.1569, 1753326.4738, 1777945.3609, 1802530.1017, 1842123.8332, 1838947.0575))"
TCD0103,Fitri,36.74230769230769,10.330769230769231,4.730769230769231,1.3615384615384616,36.13846153846154,"list(c(-779059.7337, -770808.734299999, -755689.4142, -733779.734900001, -728874.3532, -726447.804499999, -725172.4038, -726071.850900002, -725944.376800001, -725500.216200002, -728278.723299999, -733672.4027, -736038.180599999, -736420.757300001, -733466.380199999, -730942.467599999, -728106.529800002, -742286.9296, -764539.1719, -770785.2601, -775045.827100001, -771771.9619, -776570.764899999, -781587.574200001, -787629.709399998, -791291.952799998, -791621.548099998, -793721.3083, -798740.702399999, 
-801884.398499999, -803471.2632, -803710.056499999, -807782.552299999, -813331.4443, -818670.162, -819620.7269, -822577.646699999, -824786.486499999, -828765.364100002, -832734.5995, -837961.842500001, -834755.294100001, -826437.918099999, -820924.507800002, -817710.588, -809422.638799999, -810235.284200002, -795959.1248, -787725.672400001, -779059.7337, 1579952.3072, 1577222.7591, 1580140.2735, 1580321.6436, 1579762.2181, 1570697.5547, 1562775.1508, 1549441.7755, 1541624.3846, 1532540.3276, 1519761.2105, 
1509616.0458, 1498554.6212, 1487033.6623, 1475633.0378, 1468608.0926, 1461812.8899, 1461078.3511, 1440415.1875, 1437105.9564, 1432474.7897, 1423940.7653, 1424848.6435, 1427714.9057, 1427354.9834, 1430691.0121, 1435885.1596, 1440612.7382, 1444056.0661, 1449354.7831, 1456271.6333, 1465614.1142, 1467214.4314, 1473651.8375, 1479627.9132, 1483197.3611, 1494132.8628, 1499654.0474, 1503436.0994, 1505268.5663, 1509454.3393, 1517350.1433, 1525433.4106, 1529938.6941, 1536046.7273, 1548835.8553, 1573765.4977, 
1579094.3251, 1581876.3377, 1579952.3072))"
TCD0401,Guéra,49.891622340425535,6.014627659574468,5.781914893617022,0.7579787234042553,37.126344086021504,"list(c(-616346.9098, -615162.680799998, -613361.868700001, -610419.3829, -606847.197900001, -606717.7597, -610247.509, -619188.9331, -628963.945799999, -634355.789500002, -635692.411699999, -638546.364999998, -638066.045499999, -637585.740899999, -635583.944800001, -652484.006900001, -668023.1851, -672883.3662, -678234.624600001, -680133.980099998, -683497.646200001, -674958.608100001, -665281.580400001, -661140.1974, -663034.4562, -669099.278200001, -675460.6745, -680677.366, -678933.562199999, 
-683880.839699998, -691636.7392, -695624.533100002, -680643.9947, -677814.6307, -626813.205400001, -615029.336300001, -616346.9098, 1474802.8715, 1460046.4485, 1448860.7902, 1439751.1299, 1428908.0094, 1418745.1902, 1412613.6657, 1402653.3634, 1392802.7346, 1381456.1579, 1374280.7394, 1349389.1333, 1345047.9593, 1340706.1472, 1332486.7452, 1338118.6819, 1341319.9491, 1365156.0914, 1377752.8369, 1384150.3257, 1395893.7287, 1399500.8933, 1406461.8656, 1417218.1975, 1423681.2809, 1430016.0383, 1430344.9725, 
1431485.1372, 1441879.2415, 1458480.1852, 1472296.3019, 1481045.3598, 1489609.4859, 1489737.5549, 1489412.4631, 1490018.3837, 1474802.8715))"
TCD0402,Abtouyour,41.61782178217822,4.211881188118812,4.964356435643564,0.4316831683168317,39.2,"list(c(-691636.7392, -683880.839699998, -678933.562199999, -680677.366, -675460.6745, -669099.278200001, -663034.4562, -661140.1974, -665281.580400001, -674958.608100001, -683497.646200001, -680133.980099998, -678234.624600001, -672883.3662, -668023.1851, -676063.0984, -690363.056400001, -701114.0407, -711552.0715, -725010.482500002, -735750.2663, -746173.8741, -756081.961399999, -763070.657400001, -767899.230799999, -773764.6657, -777219.733100001, -777546.809500001, -774034.883400001, -771771.9619, 
-775045.827100001, -770785.2601, -764539.1719, -742286.9296, -728106.529800002, -723205.225400001, -720088.255600002, -695624.533100002, -691636.7392, 1472296.3019, 1458480.1852, 1441879.2415, 1431485.1372, 1430344.9725, 1430016.0383, 1423681.2809, 1417218.1975, 1406461.8656, 1399500.8933, 1395893.7287, 1384150.3257, 1377752.8369, 1365156.0914, 1341319.9491, 1346393.5657, 1353416.6855, 1358479.7249, 1363310.851, 1367090.3524, 1367984.0627, 1367721.0987, 1369310.694, 1372526.7754, 1385931.3264, 1394584.7814, 
1399197.7889, 1403704.3748, 1414114.9706, 1423940.7653, 1432474.7897, 1437105.9564, 1440415.1875, 1461078.3511, 1461812.8899, 1461827.4051, 1465757.5373, 1481045.3598, 1472296.3019))"
TCD0403,Bahar Signaka,46.611111111111114,2.1944444444444446,4.458333333333333,0.2916666666666667,40.32394366197183,"list(c(-756081.961399999, -746173.8741, -735750.2663, -725010.482500002, -711552.0715, -701114.0407, -690363.056400001, -676063.0984, -668023.1851, -652484.006900001, -635583.944800001, -628925.8466, -625249.535799999, -619507.617899999, -616747.5869, -611787.000799999, -604417.2663, -601123.8299, -598115.971900001, -592691.2346, -583094.5295, -575367.2722, -565880.033500001, -559830.349399999, -556805.286400001, -552948.921100002, -551683.009199999, -548444.423500001, -551560.6591, -549540.156599998, 
-552687.725900002, -560638.561299998, -564272.2432, -569584.8222, -573445.509300001, -580314.402600002, -584365.350299999, -585291.125700001, -589239.375599999, -588080.830600001, -591614.7388, -595456.181899998, -599931.398899999, -602633.546399999, -603350.987599999, -608249.571699999, -610637.917199999, -611875.1241, -616538.1976, -621280.520500001, -643199.4639, -646394.949200001, -652331.337200001, -663280.986200001, -662272.800999999, -677532.5286, -683687.090100002, -689532.206700001, -693696.898200002, 
-699121.258000001, -703506.976399999, -707475.437199999, -712171.5711, -718428.811700001, -722278.376400001, -727914.742400002, -733233.544799998, -743478.660599999, -757953.4153, -776905.6274, -786725.470800001, -793607.521899998, -799456.123799998, -796888.0392, -795788.6906, -796154.127300002, -797752.778900001, -799437.6032, -801902.455899999, -801357.2993, -798947.446699999, -794575.213199999, -789609.3167, -783168.854400001, -777130.950199999, -769420.4516, -763070.657400001, -756081.961399999, 
1369310.694, 1367721.0987, 1367984.0627, 1367090.3524, 1363310.851, 1358479.7249, 1353416.6855, 1346393.5657, 1341319.9491, 1338118.6819, 1332486.7452, 1330479.342, 1325794.5993, 1322562.7099, 1321409.5568, 1319336.9122, 1315703.9374, 1315085.7088, 1312067.6927, 1309878.0472, 1306306.6439, 1299830.6604, 1298228.9878, 1295923.0572, 1294653.9697, 1294430.7056, 1287588.6864, 1283998.8932, 1279582.0126, 1261476.2878, 1245838.4412, 1239263.4587, 1233676.7206, 1233315.7419, 1235747.4143, 1232593.1613, 
1227468.9824, 1222467.6844, 1218039.7726, 1212809.4189, 1209427.9905, 1204067.8248, 1202311.8656, 1199745.6806, 1194973.3183, 1196008.4378, 1192976.9935, 1187736.32, 1178121.5449, 1176537.8027, 1176481.1802, 1163779.6432, 1163530.946, 1168393.0412, 1180737.8966, 1199433.4671, 1202441.2647, 1206496.4089, 1205670.3866, 1208214.0229, 1211807.079, 1215168.2819, 1217945.5511, 1220136.549, 1218381.0904, 1221968.8567, 1223813.2079, 1235406.2854, 1233037.4366, 1229955.9785, 1238176.4624, 1239897.3263, 1244177.4809, 
1255453.9281, 1269856.195, 1286103.6182, 1297003.406, 1302332.9834, 1321699.1722, 1328963.3755, 1348340.5093, 1356539.1122, 1361567.0672, 1366913.7939, 1371558.1725, 1372392.998, 1372526.7754, 1369310.694))"
TCD0404,Mangalmé,35.82142857142857,6.485714285714286,3.9714285714285715,0.1,33.85294117647059,"list(c(-530936.008499999, -522271.211399999, -516841.853399999, -509319.0726, -504510.6424, -497513.509300001, -496044.911899999, -500208.627799999, -503337.0616, -509567.794500001, -505376.4122, -512876.16, -521296.527399998, -527623.065299999, -531240.579599999, -532899.0515, -530856.583999999, -547280.957699999, -565117.985100001, -573883.289999999, -577119.357000001, -592928.527899999, -589973.890000001, -598798.948899999, -603048.083000001, -616275.9133, -619741.922400001, -635692.411699999, 
-634355.789500002, -628963.945799999, -619188.9331, -610247.509, -606717.7597, -606847.197900001, -610419.3829, -613361.868700001, -615162.680799998, -616346.9098, -615029.336300001, -606168.094799999, -604356.217300002, -588254.253400002, -563155.2009, -554613.213199999, -544820.675299998, -530936.008499999, 1523835.426, 1520516.9427, 1517996.5758, 1511911.8042, 1506856.096, 1502494.7381, 1498351.6859, 1494311.7422, 1494074.9479, 1481041.8894, 1471483.0616, 1467201.3561, 1454611.9354, 1438558.2973, 
1423771.531, 1419263.4142, 1414179.7369, 1416228.2968, 1419653.2476, 1422635.9137, 1424245.2015, 1407918.8116, 1393246.5906, 1378306.9351, 1368115.3007, 1363684.8723, 1373974.541, 1374280.7394, 1381456.1579, 1392802.7346, 1402653.3634, 1412613.6657, 1418745.1902, 1428908.0094, 1439751.1299, 1448860.7902, 1460046.4485, 1474802.8715, 1490018.3837, 1489948.9426, 1492103.1255, 1502063.4095, 1518354.893, 1523322.7264, 1528982.3734, 1523835.426))"
TCD0601,Kanem,45.67397388059702,4.065298507462686,6.174440298507463,0.3125,33.188146754468484,"list(c(-1029777.612, -1022684.1006, -1011177.0553, -1004047.1106, -993900.377, -984603.3204, -978782.7819, -968146.327500001, -961245.4824, -951152.915600002, -945938.5557, -929655.006700002, -939083.120900001, -940971.1505, -948707.396499999, -961824.224399999, -979006.186700001, -980187.980500001, -985286.974300001, -989025.5755, -991397.323199999, -1002455.6604, -1023000.2947, -1038644.5161, -1053426.8127, -1057599.7795, -1063112.2461, -1068577.7196, -1070454.1661, -1079109.4226, -1083545.1064, 
-1091053.3679, -1082957.2346, -1070692.6639, -1060848.2188, -1054423.8314, -1047684.2391, -1044304.335, -1029777.612, 1704540.5874, 1705712.4386, 1699820.2469, 1692079.7037, 1686749.2063, 1684957.7211, 1691153.2772, 1693823.9279, 1690879.7774, 1699260.6498, 1700537.5008, 1701208.365, 1680256.1801, 1676057.6723, 1669771.3904, 1659107.9277, 1642531.1279, 1624884.1229, 1621310.7781, 1616825.2094, 1609821.6591, 1609203.3303, 1606366.1352, 1604543.6136, 1602535.837, 1603151.0869, 1603963.6902, 1598491.2974, 
1602036.0867, 1618563.9351, 1627060.105, 1636780.6912, 1644040.8129, 1655542.94, 1671832.9028, 1682724.0234, 1693268.5147, 1708476.5245, 1704540.5874))"
TCD0602,Nord Kanem,43.23456790123457,9.104938271604938,7.049382716049383,0.9629629629629629,31.375,"list(c(-905935.374200001, -929655.006700002, -945938.5557, -951152.915600002, -961245.4824, -968146.327500001, -978782.7819, -984603.3204, -993900.377, -1004047.1106, -1011177.0553, -1022684.1006, -1029777.612, -1044304.335, -1047684.2391, -1054423.8314, -1060848.2188, -1070692.6639, -1082957.2346, -1091053.3679, -1093293.0776, -1095184.4958, -1102244.2753, -1110201.921, -1115680.5822, -1119877.4058, -1123085.0755, -1126036.4293, -1131541.157, -1138040.5311, -1139475.8639, -1145261.4228, -1148210.4408, 
-1151199.0428, -1155363.7199, -1171014.7769, -1175823.2612, -1184727.3683, -1182683.9594, -1180282.7168, -1180528.6478, -1180550.5886, -1182858.1019, -1180398.627, -1173664.4941, -1168000.52, -1169718.5179, -1170127.6415, -1166222.5756, -1164120.9534, -1161644.3012, -1152354.3913, -1148428.0681, -1134968.9714, -1129887.7074, -1128099.752, -1123345.1819, -1119249.9664, -1108037.2614, -1081625.2945, -1022679.2246, -989419.167199999, -929969.3466, -867733.1653, -832170.4016, -817879.7412, -905935.374200001, 
1753819.5075, 1701208.365, 1700537.5008, 1699260.6498, 1690879.7774, 1693823.9279, 1691153.2772, 1684957.7211, 1686749.2063, 1692079.7037, 1699820.2469, 1705712.4386, 1704540.5874, 1708476.5245, 1693268.5147, 1682724.0234, 1671832.9028, 1655542.94, 1644040.8129, 1636780.6912, 1639916.1684, 1642527.6416, 1653300.2799, 1655098.1665, 1656335.7272, 1664078.3185, 1664157.3713, 1664230.0877, 1673565.9072, 1674739.9853, 1682345.8915, 1689862.6648, 1689711.7879, 1689558.8564, 1695703.5274, 1695080.6492, 
1695784.9504, 1697801.9352, 1699613.2414, 1702125.3691, 1705541.5783, 1708688.2323, 1710934.2117, 1713149.3482, 1717970.5796, 1721670.8238, 1728858.8539, 1737362.7696, 1747116.1939, 1752157.1749, 1757901.2359, 1769237.539, 1775270.8314, 1796488.0172, 1804430.0527, 1807259.4278, 1814592.4228, 1820551.4724, 1836387.08, 1865648.2201, 1917529.282, 1946793.5006, 1925393.3629, 1895084.7875, 1878354.31, 1871380.2186, 1753819.5075))"
TCD0701,Mamdi,56.90161725067385,5.840970350404312,7.406109613656784,0.6945193171608266,35.25844748858447,"list(c(-1045993.7093, -1045396.1441, -1044725.7406, -1044308.23, -1043974.8278, -1042962.9872, -1039252.2565, -1039021.7661, -1039915.3973, -1041104.5432, -1046750.6069, -1060301.1326, -1092475.2169, -1094085.4083, -1099853.683, -1138829.9081, -1147509.2702, -1138190.8706, -1127332.0947, -1115221.2163, -1113711.6638, -1111866.8759, -1104059.2113, -1087054.1844, -1083298.7192, -1073368.9719, -1059228.7276, -1054853.5432, -1048144.8596, -1046035.6813, -1046013.9978, -1045993.7093, 1569439.1443, 1564368.8566, 
1558952.5749, 1555717.533, 1553319.4761, 1550556.583, 1544184.5063, 1535233.8144, 1530407.3566, 1523349.6986, 1523224.4141, 1522922.3309, 1520571.8944, 1523656.6209, 1532699.0601, 1532632.3662, 1547878.5355, 1559566.5548, 1559958.4765, 1557963.3534, 1567196.2652, 1570962.4421, 1571857.6197, 1573806.325, 1566649.2562, 1566692.9366, 1585012.7202, 1590677.6982, 1584839.0329, 1579275.6304, 1574193.9228, 1569439.1443))"
