departement,mean_SCA,mean_rSCI,mean_HDDS_score,mean_LhCSI_score,mean_SERS_score
Batha Ouest,46.0659793814433,6.967010309278351,5.348453608247422,0.9216494845360824,37.39958592132505
Batha Est,45.61818181818182,4.691919191919192,5.767676767676767,0.6878787878787879,38.708333333333336
Fitri,36.74230769230769,10.330769230769231,4.730769230769231,1.3615384615384616,36.13846153846154
Guéra,49.891622340425535,6.014627659574468,5.781914893617022,0.7579787234042553,37.126344086021504
Abtouyour,41.61782178217822,4.211881188118812,4.964356435643564,0.4316831683168317,39.2
Bahar Signaka,46.611111111111114,2.1944444444444446,4.458333333333333,0.2916666666666667,40.32394366197183
Mangalmé,35.82142857142857,6.485714285714286,3.9714285714285715,0.1,33.85294117647059
Kanem,45.67397388059702,4.065298507462686,6.174440298507463,0.3125,33.188146754468484
Nord Kanem,43.23456790123457,9.104938271604938,7.049382716049383,0.9629629629629629,31.375
Mamdi,56.90161725067385,5.840970350404312,7.406109613656784,0.6945193171608266,35.25844748858447
Wayi,61.43103448275862,4.862068965517241,6.931034482758621,0.4827586206896552,29.862068965517242
Kaya,60.79528985507246,4.050724637681159,6.673913043478261,0.6702898550724637,28.649446494464943
Ouara,45.513125,5.1575,5.5025,0.39,40.82337992376112
Assoungha,42.9375,7.1640625,5.390625,0.203125,37.86507936507937
Bahr Azoum,52.177570093457945,3.560747663551402,5.719626168224299,0.08411214953271028,39.943396226415096
Aboudeia,52.19571045576407,4.18230563002681,6.093833780160858,0.12064343163538874,37.05913978494624
Dar Tama,38.95454545454545,4.181818181818182,4.818181818181818,0.36363636363636365,40.18181818181818
Barh El Gazel Sud,42.380522993688004,6.768259693417494,5.715058611361587,0.7051397655545536,31.112522686025407
Barh El Gazel Ouest,47.71978021978022,8.032967032967033,5.593406593406593,1.2307692307692308,30.978021978021978
Wadi Hawar,45.27947598253275,14.209606986899564,5.895196506550218,0.07860262008733625,25.344978165938866
Kimiti,43.73094170403587,7.423766816143497,5.360986547085202,0.8408071748878924,35.20422535211268
